SYMBOL,COMPANY,DATE,order date,Client Name,BUY_SELL,Quantity Traded,Price
GHCLTEXTIL,GHCL Textiles Limited,01-Aug-2024,26-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,653052,103.35
GHCLTEXTIL,GHCL Textiles Limited,01-Aug-2024,26-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-653052,103.52
KOTHARIPET,Kothari Petrochemicals Limited,01-Aug-2024,25-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,341279,175.67
KOTHARIPET,Kothari Petrochemicals Limited,01-Aug-2024,25-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-341279,176.22
PATINTLOG,Patel Integrated Logistics Limited,01-Aug-2024,26-JUL-2024,HRTI PRIVATE LIMITED,BUY,691325,27.14
PATINTLOG,Patel Integrated Logistics Limited,01-Aug-2024,26-JUL-2024,HRTI PRIVATE LIMITED,SELL,-748188,27.12
RUSHIL,Rushil Decor Limited,01-Aug-2024,24-JUL-2024,SUMANT KAPUR,SELL,-172976,355.63
UFO,UFO Moviez India Limited,01-Aug-2024,29-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,194769,139.99
UFO,UFO Moviez India Limited,01-Aug-2024,29-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-194769,140.07
UFO,UFO Moviez India Limited,01-Aug-2024,30-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,259385,148.4
UFO,UFO Moviez India Limited,01-Aug-2024,30-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-259385,148.55
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,02-Aug-2024,25-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,671791,369.87
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,02-Aug-2024,25-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-671791,370.41
CELEBRITY,Celebrity Fashions Limited,02-Aug-2024,24-JUL-2024,CHARATH RAM NARSIMHAN,SELL,-286640,17.24
CELEBRITY,Celebrity Fashions Limited,02-Aug-2024,30-JUL-2024,CHARATH RAM NARSIMHAN,SELL,-501082,17.32
IEL,Indiabulls Enterprises Limited,02-Aug-2024,30-JUL-2024,STEADVIEW CAPITAL MAURITIUS LIMITED,SELL,-4311000,10.76
YAARI,Yaari Digital Integrated Services Limited,02-Aug-2024,29-JUL-2024,ANIL KANTIPRASAD PODDAR,BUY,1296000,8.9
YAARI,Yaari Digital Integrated Services Limited,02-Aug-2024,29-JUL-2024,STEADVIEW CAPITAL MAURITIUS LIMITED,SELL,-1845000,8.9
YAARI,Yaari Digital Integrated Services Limited,02-Aug-2024,30-JUL-2024,STEADVIEW CAPITAL MAURITIUS LIMITED,SELL,-1870000,9.29
ARROWGREEN,Arrow Greentech Limited,03-Aug-2024,24-JUL-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,144900,657.95
